Vendor|VendorAbbr|CountryCode|ProductID|ProductDescription|ProductType|ProductLine|Finish|UOM|Zero81|PkQtyForPricing|Keynote
ASSA|AS|UK|10244900000|M8011.103 L FOR M8011 (MAGAC-L500)|EL|M8000|n/a|EA|48.08|1|10.2
ASSA|AS|UK|10245000000|M8011.100 L+Z FOR M8011 (MAGAC-Z500)|EL|M8000|n/a|EA|134.5|1|10.2
ASSA|AS|UK|10280100000|EA280 CONCEALED CHROME LOOP (NEW 8810)*|EA|EA280|n/a|EA|27.84|1|19.2
ASSA|AS|UK|10281100000|EA281 CONCEALED CHROME LOOP (LONG)      |EA|EA281|n/a|EA|41.24|1|19.2
ASSA|AS|UK|10288900000|SPLIT SPINDLE 43MM FOR 1325 HANDLE ONLY|OT|ASSA|n/a|EA|3.14|1|26.1
ASSA|AS|UK|10298500000|EMERGENCY DOOR RELEASE:MUS3G000SF-12|FN|ASSA|n/a|EA|48.69|1|9.9
ASSA|AS|UK|10412900000|L BRACKET FOR W/PROOF MAG (MAGAC-L1200)|EL|M8000|n/a|EA|68.53|1|10.2
ASSA|AS|UK|50382005100|75 MULTI STRIKE BODY 12/24V|ES|75E|n/a|EA|137.05|1|10.1
ASSA|AS|UK|70410100000|CLIQ Web Manager Remote 1- 200 S/W|CY|CLIQ|n/a|EA|380.99|1|1.2
ASSA|AS|UK|70411800000|CLIQ Remote Start Up (1 Admin+Licence)|CY|CLIQ|n/a|EA|380.99|1|1.2
ASSA|AS|UK|81669759000|CLIQ / Remote Programming Device|CY|CLIQ|n/a|EA|935.27|1|1.2
ASSA|AS|UK|8.19E+11|CLIQ PROGRAMMING DEVICE & SOFTWARE      |EC|CLIQ|n/a|EA|1213.06|1|1.3
ASSA|AS|UK|1044750000A|M838-ISU HOLD OPEN 24V  & PLATE|ST|M838-ISU|n/a|EA|133.08|1|9.9
ASSA|AS|UK|1044790000A|M838-IGBU FLOOR HO & ARMATURE PLATE     |ST|M838-IGBU|n/a|EA|124.75|1|9.9
ASSA|AS|UK|1044800000A|M838-A MORTICE HO & ARMATURE PLATE      |ST|M838-A|n/a|EA|91.48|1|9.9
ASSA|AS|UK|10143109020|C5801 Cyl M/K No Keys|CY|5800|PB|EA|74.86|1|1.1
ASSA|AS|UK|10151409020|4801 Cyl M/K NO KEYS                    |CY|4800|PB|EA|58.68|1|1.1
ASSA|AS|UK|10151430020|4801 CYL S/D W2 KEYS STEP 3|CY|4800|PB|EA|50.43|1|1.1
ASSA|AS|UK|10151520020|4802 Cyl W2 KEYS S/D Step 2|CY|4800|PB|EA|97.97|1|1.1
ASSA|AS|UK|10152109020|4822 M/K NO KEYS                 K30/K30|CY|4800|PB|EA|76.54|1|1.1
ASSA|AS|UK|10152720020|4822+5+5 S/D WITH 2 KEYS ST2     K35/K35|CY|4800|PB|EA|62.77|1|1.1
ASSA|AS|UK|10152809020|4827+5+5 M/K NO KEYS             K35/T35|CY|4800|PB|EA|65.24|1|1.1
ASSA|AS|UK|10155620020|4857 CYL S/D W2K STEP 2|CY|4800|PB|EA|52.54|1|1.1
ASSA|AS|UK|10433409020|4401 DP CYL M/K NO KEYS NEW SYSTEM     |CY|DP|PB|EA|74.86|1|1.1
ASSA|AS|UK|10433509020|4402 DP CYL M/K NO KEYS NEW SYSTEM|CY|DP|PB|EA|143.78|1|1.1
ASSA|AS|UK|10473329020|FP501 CYL W2K M/K - STEP 2              |CY|FLEXCORE PLUS|PB|EA|44.55|1|1.1
ASSA|AS|UK|10476629020|FP527 M/K WITH 2 KEYS ST2        K30/T30|CY|FLEXCORE PLUS|PB|EA|47.39|1|1.1
ASSA|AS|UK|10483110020|EURO ESCUTCHEON C/W SCREWS (1 PAIR)|FN|ESC|PB|EA|13.57|1|9.9
ASSA|AS|UK|10511009020|P601 M/K WITH 2 KEYS|CY|P600|PB|EA|53.37|1|1.1
ASSA|AS|UK|10511109020|P602 M/K WITH 2 KEYS|CY|P600|PB|EA|97.03|1|1.1
ASSA|AS|UK|10514009020|P621 M/K WITH 2 KEYS K30/T30|CY|P600|PB|EA|57.89|1|1.1
ASSA|AS|UK|10514609020|P627 M/K WITH 2 KEYS K30/T30|CY|P600|PB|EA|57.89|1|1.1
ASSA|AS|UK|35190510120|9565T Flip-Up Handle Accessories RH Outw|FN|9564T|PB|EA|139.76|1|9.1
